Hugo_Symbol	Entrez_Gene_Id	TCGA-W5-AA2I-11	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-11	TCGA-W5-AA2U-11	TCGA-W5-AA2X-11	TCGA-W5-AA30-11	TCGA-W5-AA31-11	TCGA-W5-AA34-11	TCGA-ZU-A8S4-11
CLIC3	9022	3.1447	6.8871	1.8962	5.5819	10.6838	7.6357	4.5372	7.2405	26.0657
CLIC4	25932	2438.16	2659.78	1803.27	3204.02	2498.93	2844.83	3419.24	2637.97	1720.34
CLIC5	53405	17.8197	45.4545	29.3909	34.6079	84.4017	112.353	14.5191	18.5036	36.9264
CLIC6	54102	53.4591	115.703	83.4321	108.289	630.342	133.079	68.0581	130.33	133.587
CLINT1	9685	3133.12	2593.66	2984.59	3782.31	3303.42	3385.87	3960.98	3923.57	2921.53
CLIP1	6249	1761.01	1479.34	3728.85	1820.82	1732.91	1520.59	2529.04	2510.06	1279.39
CLIP2	7461	295.598	326.446	159.28	171.923	370.726	306.518	133.394	165.728	114.037
CLIP3	25999	71.2788	201.102	55.9374	106.056	194.444	229.07	74.4102	57.9244	56.4757
CLIP4	79745	81.761	159.78	95.7573	183.087	132.479	203.982	85.2995	226.066	105.349
CLK1	1195	1712.79	1523.42	1887.65	2911.53	2476.5	1874.01	1508.17	1243.77	1912.57
CLK2	1196	504.193	512.397	334.676	608.429	700.855	601.036	533.575	423.974	464.838
CLK2P	1197	8.3857	13.7741	5.6886	4.4655	14.9573	17.453	8.167	4.827	4.3443
CLK3	1198	823.899	696.97	534.724	831.705	950.855	855.195	788.566	646.822	712.463
CLK4	57396	437.107	403.581	407.68	632.989	596.154	502.863	343.92	371.681	394.244
CLLU1	574028	4.1929	2.7548	0	2.2328	0	1.0908	1.8149	4.827	0
CLLU1OS	574016	0	0	0	0	0	0	0	0	0
CLMN	79789	2000	1121.21	1643.99	1248.12	1706.2	909.736	1794.92	1784.39	1490.09
CLN3	1201	1103.77	1370.52	813.463	1032.65	971.154	1077.72	1041.74	884.956	762.422
CLN5	1203	1105.87	703.857	885.518	1115.27	777.778	742.842	1107.99	1082.86	917.73
CLN6	54982	792.453	1099.17	483.527	607.312	692.308	627.216	622.505	914.722	727.668
CLN8	2055	548.218	528.926	810.619	825.007	743.59	548.677	396.552	1090.91	457.236
CLNK	116449	0	1.3774	0	0	1.0684	0	1.8149	0	1.0861
CLNS1A	1207	1364.78	1505.51	1187.01	1512.7	1299.15	1389.69	1208.71	1137.57	1932.12
CLOCK	9575	62.8931	52.3416	189.618	82.6123	149.573	83.9924	173.321	166.533	122.726
CLP1	10978	268.344	213.499	229.438	196.483	222.222	213.799	204.174	263.073	231.333
